"id";"year";"content";"number";"hassorted"
472;2009;"2009年3月10日,菲律宾通过并签署了新的“领海基线法案”,⑤确立了新的将南沙群岛部分岛礁纳入管辖的制度。";"150";472
473;2009;"此后,菲律宾又于2009年3月推出《领海基线法》,以国内法加强对南海地区的声索。";"199";473
474;2009;"2009年3月19日,越南和中国同意建立领导人热线电话机制,①而在此两周之前南海发生中国渔船对峙美国“无暇号”军舰事件,一周之前菲律宾通过“领海基线法案”,宣布对南沙群岛部分岛屿和黄岩岛拥有主权。";"431";474
475;2009;"2009年3月,菲律宾公然将黄岩岛和南沙部分岛礁列为菲国领海基点,台“外交部”约见菲律宾驻台代表白熙礼提出了严重抗议,针锋相对地重申这些岛屿主权属于“中华民国”,任何国家无权以任何理由或方式予以主张或占据。";"518";475
476;2009;"③2009年3月,菲律宾通过了时任总统阿罗约签署的《领海基线法》,这项法律界定了菲律宾自认的专属经济海域,并再次宣称对位于其西部海域、有争议的南沙群岛具有“主权”。";"671";476
477;2009;"2009年3月9日,美国“无暇号”监测船在中国南海海域作业遭到了中国渔船的“围堵”。";"721";477
478;2009;"2009年3月“无暇号事件”后,中国首度向世界公布南海海域九条断续线图,派遣渔政船到南海执行定期巡航与护渔任务,并扣捕了侵入中方水域违反伏季休渔规定的越南渔船。";"734";478
479;2009;"2009年3月8日,美国海军监测船“无暇号”在靠近海南岛的中国专属经济区活动时,与中国发生现场对峙。";"799";479
480;2009;"联合国将各沿海国提交外大陆架划界案的最后期限定在2009年3月15日,是造成南海周边国家抓紧瓜分南海岛礁与海域的主要原因;南海周边国家极力引进外国公司参与南沙海域的油气资源开发,是造成南海问题复杂化的另一原因;南海周边某些东南亚国家为争夺南海海域主权而加强沿岸的潜艇部署,以及包括美国在内的区域外大国的介入,是南海问题进一步激化的第三个原因。";"880";480
481;2009;"③2009年3月5日,时任马来西亚总理的巴达维与海军司令阿都阿兹加法上将以及陆军司令来到南沙群岛的弹丸礁(马来西亚称“拉央拉央岛”),首次以总理身份宣示马来西亚“拥有”此片领土。";"909";481
482;2009;"尽管中国一直在反对和严正抗议,菲律宾总统阿罗约还是于2009年3月10日签署第9522号共和国令,使备受争议的《领海基线法案》成为法律,将黄岩岛和南沙群岛的自由群岛列为菲律宾“所属岛屿”。";"916";482
483;2009;"2009年3月16日,文莱和马来西亚就划分南海200海里专属经济区和大陆架达成一致协议,中国部分南海海域被两国所瓜分。";"925";483
484;2009;"2009年3月,中国渔政311船抵达西沙永兴岛,担负起专属经济区的巡航管理任务,西沙、南沙、中沙群岛的护渔护航任务,北部湾联合监管以及渔业突发事故的救援工作。";"930";484
485;2009;"在2009年4月泰国芭堤雅召开的东盟峰会发表的《联合公报》,只有两条涉及南海问题。";"607";485
486;2009;"2009年4月25日,越南在地区各国压力②和国内经济与政治的压力下,违反了中越双方在南海问题上达成的共识,违背了不采取使局势复杂化行动的承诺,任命了监管西沙群岛的政府机构主席,以宣示对该群岛拥有主权。";"906";486
487;2009;"2009年4月17日,越南河内市委副书记率团登上“长沙岛”,出席所谓“首都宾馆”的奠基仪式,准备进一步开发南沙旅游。";"913";487
488;2009;"直到2009年5月,中国向大陆架界限委员会提交照会,照会中附有一份标有南海断续线的地图,关于断续线的性质和法理依据才开始引起国际社会的广泛猜测,南海周边国家纷纷向中国提出抗议,美国等域外国家也借口断续线妨碍南海的航行自由与安全,积极介入南海问题。";"102";488
489;2009;"直到2009年5月,各国掀起了提交“外大陆架划界案”的热潮,越南、菲律宾、印度尼西亚和马来西亚等南海相关国家先后修改了本国的大陆架法,并陆续向大陆架界限委员会提交了七个划界案。";"103";489
490;2009;"在修改国内立法的基础上,越南、菲律宾、印度尼西亚和马来西亚分别向联合国提交了外大陆架划界申请案,2009年5月6日,马来西亚和越南还联合提交了200海里外大陆架划界案,将包括南沙群岛在内的南海南部大片海域作为两国共同的外大陆架,这些划界案不同程度地侵害了中国在南海的主权、主权权利和管辖权。";"105";490
491;2009;"针对这种情况,2009年5月7日,中国外交部通过联合国秘书长向大陆架界限委员会提交了照会,明确指出：”中国对南海诸岛及其附近海域拥有无可争辩的主权,并对相关海域及其海床和底土享有主权权利和管辖权。";"106";491
492;2009;"⑥2009年5月,马来西亚和越南向联合国相关委员会提交了200海里“外大陆架划界案”,其中值得注意的是,两国对专属经济区的划定都是从陆地上的基线量起,而不是从其所主张的南海岛屿量起。";"269";492
493;2009;"同时,2009年5月一些国家相继提出了自己在南海的主权要求,一些东南亚国家的安全担忧同美国对航行自由的担忧产生了重合,中国对南沙群岛的主权要求于是成为它们的一个共同关注的焦点。";"412";493
494;2009;"同时,2009年5月一些国家相继提出了自己在南海的主权要求,一些东南亚国家的安全担忧同美国对航行自由的担忧产生了重合,中国对南沙群岛的主权要求于是成为它们的一个共同关注的焦点。";"508";494
495;2009;"2009年5月,中国向联合国秘书长提交了附有“南海九条断续线”地图的外交照会。";"568";495
496;2009;"2009年5月6日,马来西亚与越南联手向联合国大陆架界限委员会提交“200海里外大陆架划界案”,声称对所占岛礁拥有主权,并表示要在南沙海域设立“潜艇作业区”。";"698";496
497;2009;"“2009年5月,中国向联合国秘书长提交了附有‘南海九条断续线’地图的外交照会。";"711";497
498;2009;"2009年5月,中国向联合国秘书长提交了附有“南海九条断续线”地图的外交照会。";"744";498
499;2009;"2009年5月6日越南和马来西亚联合提交了200海里外大陆架“划界案”,几乎侵蚀了整个南海,以及随后越南单独提交“划界案”声称对中国南沙群岛和西沙群岛拥有主权,更是引起了国际社会的广泛关注和极大的争议。";"809";499
500;2009;"2009年5月7日,针对越南和马来西亚在南海的外大陆架联合提案,中国外交部在通过联合国秘书长向大陆架界限委员会提交的一份照会中做出过如下声明：“中国对南海诸岛及其附近海域拥有无可争辩的主权,并对相关海域及其海床和底土享有主权权利和管辖权。";"824";500
501;2009;"2009年5月,越南单独及与马来西亚联合,提交了关于南海北部和南海南部200海里外大陆架划界案,分别涉及西沙海域和南沙海域7.8万和4.5万平方公里的海床和底土。";"841";501
502;2009;"2009年5月6日,越南与马来西亚联合向联合国大陆架界限委员会,提交了他们各自在南海南部的200海里外大陆架“划界案”;2009年5月7日,越南又单独提交了在南海中部部分地区的外大陆架“划界案”。";"868";502
503;2009;"2009年5月16日,中国渔业部门为保护南海生态环境和渔业资源、阻止非法捕鱼和保护中国渔民,⑤比往年提前15天在南沙群岛和西沙群岛周围的专属经济区①实施休渔。";"919";503
504;2009;"2009年5月6日,越南和马来西亚向大陆架划界委员会联合提交了200海里以外大陆架划界方案,将中国南海的大片海域划为两国共同的200海里以外大陆架。";"922";504
505;2009;"2009年5月7日,越南又单独提交了一份划界方案,将中国南海大片海域划为其200海里以外大陆架。";"923";505
506;2009;"⑤2009年5月11日,文莱也采取相同的行动,试图侵占中国南海的大片海域。";"924";506
507;2009;"2009年6月,在访华前夕,马来西亚总理纳吉布讲话称“中马可利用现有机制探讨南海问题。";"699";507
508;2009;"对此,越南首次对中国渔业部门的休渔令表示抗议,并于2009年6月8日称中国在南海的休渔令“侵犯了其权益”,并要求中国取消禁渔令。";"920";508
509;2009;"2009年6月20日,广西8艘渔船在中国南沙海域传统渔场内正常作业时,被印尼渔业执法船抓扣。";"926";509
510;2009;"2009年7月,美国助理国防部长帮办罗伯特·谢尔(ＲobertScher)在参议院作证时便声称,中国基于历史权利对南沙和西沙提出的领土主张“没有得到国际承认”。";"27";510
511;2009;"⑤进入21世纪后,印度、日本与美国先后于2003年10月、12月和2009年7月签署了《东南亚友好合作条约》,积极支持东盟主导的一系列多边机制,与此同时,他们还不断扩大在东南亚地区的政治、经济与军事影响力,加大对南海问题的介入力度。";"93";511
512;2009;"2009年7月,为了催促奥巴马介入中国南海争端,美国国会参议院外交关系委员会举行了听证会,探讨在南海地区“面对中国不断增强的军事实力”以及潜在的“亚洲争端”,美国应当扮演怎样的角色,呼吁美国应该为亚洲地区其他国家提供保护伞,避免中国在该地区的“军事恫吓”,同时维持美国海上力量的质量与优势。";"581";512
513;2009;"据2009年7月2日马来西亚《吉隆坡安全评论》的一篇文章称,如果中国在南沙问题上持强硬立场,会催生东南亚“南沙利益集团”的成形。";"582";513
514;2009;"2009年7月,美国参议院外交委员会举办了一场题为“东亚主权与海洋争议”的听证会,美国海军战争学院教授彼得·达顿在会上表示:“鉴于中国主张南海所有岛屿为其领土,且这些岛屿完全由中国《领海法》、《专属经济区与毗连区法》等有关法律所规范,南海海域将全部成为中国的专属经济区,②美国在南海地区的航行自由与其他军事活动将受到严重影响。";"746";514
515;2009;"在这一波风潮挟裹之下,美国行政当局尽管表态相对谨慎,却也不再掩饰其倾向性:五角大楼助理国防部长帮办罗伯特·谢尔(RobertScher)在2009年7月15日的参议院听证会上说,中国对南沙和西沙提出的领土主张没有得到国际承认。";"761";515
516;2009;"2009年7月2日,马来西亚《吉隆坡安全评论》刊登了一篇文章,以上半年向联合国提交外大陆架划界案引起的纷争为背景,鼓吹形成一个东南亚的“南沙集团”,与中国争夺南海。";"877";516
517;2009;"2009年8月15日,菲律宾政府批准与一家英国公司合作勘探中国南沙礼乐滩附近的油气资源。";"672";517
518;2009;"2009年8月,马来西亚新任总理纳吉布访问文莱时,向文莱苏丹博尔基亚提出,两国可探讨在南海争议水域进行联合开发,并将联合开发计划列入两国有关陆地和海洋划界的“交换书”框架。";"700";518
519;2009;"2009年8月19日,曾牵头举行有关中国南海争端听证会、美国参议院外交事务委员会亚太小组主席韦伯在访问越南时直言宣称,“美国作为一个国家的外交立场,是希望在该区域成为`平衡'中国的势力”①。";"722";519
520;2009;"③2009年8月,韦伯在访问越南时再度表示,美国应在南海岛屿主权争议问题上与越南站在一起。";"732";520
521;2009;"最近,据《菲律宾商报》2009年8月15日报道,菲律宾政府已批准英国公司ForumEnergy及其合作伙伴,勘探南沙群岛礼乐滩(RedBank)的石油和天然气资源。";"874";521
522;2009;"⑤据《菲律宾商报》2009年8月15日报道,菲律宾政府已经批准英国公司ForumEnergy及其合作伙伴勘探南沙群岛礼乐滩的石油和天然气资源。";"915";522
523;2010;"②2010年,越南利用担任东盟轮值主席国的便利热炒南海问题,这一行为与美国高调介入南海事务的政策不谋而合。";"54";523
524;2010;"①奥巴马政府不仅在2010年通过美国—东盟峰会机制确立了与东盟的合作框架,巩固与马来西亚的关系,而且一改以往不支持南海争端任何一方的原则,在公开场合表达在中马南海争端中支持马来西亚的立场。";"58";524
525;2010;"《南海各方行为宣言》签署后,菲律宾、越南两国不仅一再强调要建立“南海地区行为准则”,而且还利用其2007、2010年担任东盟轮值主席国之机提升东盟介入南海问题的程度,并以东盟为平台推动南海问题进一步向国际化方向发展。";"98";525
526;2010;"越南利用这一时机不仅将南海问题列入由其主持的一系列会议议程中,还特别在2010年举行了第16次和17次东盟首脑峰会,强调建立“南海地区行为准则”的必要性。";"100";526
527;2010;"与2010年下半年相比,菲律宾在南海问题上的态度和做法更加强硬。";"207";527
528;2010;"2010年下半年至今,菲律宾针对中国在南海争端问题上做出众多激进举措。";"248";528
529;2010;"2010年,阿基诺三世靠打反腐牌在大选中取得胜利,并在上台后改弦更张,在南海问题上挑衅中国。";"286";529
530;2010;"2010年至今是冷战后美国南海政策的第三个时期,它显示出两个重要特点:一是美国对在南海航行自由的担忧加剧了,二是美国在南海主权问题上实际上做了选边。";"396";530
531;2010;"从2010年至今,随着美国把战略重心转移到亚太地区,南海领土问题成为美国在亚太地区关注的重点,在南海问题上发言的官员的级别也提高到国务卿和国防部长等内阁重要官员。";"397";531
532;2010;"2010年中国海军在南海举行了三次军事演习,分别是在4月初、7月上旬和7月下旬。";"399";532
533;2010;"①2010年越南成为东盟轮值主席国,它在使南海争端国际化方面的自身利益也促使其努力把美国推向这个方向。";"413";533
534;2010;"进入2010年后,越南国防部接连对南海问题进行表态,除了强调和平谈判之外,也提及不要让外面的敌对势力利用、煽动和挑拨中越两国关系。";"442";534
535;2010;"2010年至今是冷战后美国南海政策的第三个时期,它显示出两个重要特点:一是美国对在南海航行自由的担忧加剧了,二是美国在南海主权问题上实际上做了选边。";"492";535
536;2010;"从2010年至今,随着美国把战略重心转移到亚太地区,南海领土问题成为美国在亚太地区关注的重点,在南海问题上发言的官员的级别也提高到国务卿和国防部长等内阁重要官员。";"493";536
537;2010;"甚至有人认为,在2010年之后的两年中,围绕南海冲突的外交主导了美国在东南亚的行动。";"494";537
538;2010;"2010年中国海军在南海举行了三次军事演习,分别是在4月初、7月上旬和7月下旬。";"495";538
539;2010;"①2010年越南成为东盟轮值主席国,它在使南海争端国际化方面的自身利益也促使其努力把美国推向这个方向。";"509";539
540;2010;"［摘要］2010年以来,在美国高调介入南海地区事务以及越南推动南海问题多边化与外部化政策的影响下,东盟对南海问题的影响日趋增强,主要南海权益争端国家对中国的态度趋向强硬。";"519";540
541;2010;"2010年,越南担任东盟轮值主席国期间热炒南海问题的行动与美国高调介入南海事务的政策改变了南海地区虽有潜在冲突却相对稳定的形势。";"520";541
542;2010;"2010年,南海问题被相继纳入东盟主导的各类政治安全对话及相关会议议题。";"533";542
543;2010;"东盟2010年相关会议首先强调以国际法原则约束南海各方的行为。";"535";543
544;2010;"2010年东盟相关会议均高度评价了《南海各方行为宣言》。";"536";544
545;2010;"东盟2010年所主导的系列会议高度关注南海问题,以及期望在东盟体制下约束南海问题的发展方向。";"537";545
546;2010;"2009年7月,美国海军战争学院教授彼得·达顿在美国参议院外交委员会举办的“东亚主权与海洋争议”听证会上,发表了“南海九段线”主张将使“全部南海海域统统成为中国专属经济区”,“美国在南海地区的航行自由与其他军事活动将受到严重影响”的言论,以及2010年美国公布的四年防务评估报告、中国海军现代化研究报告,以及美中经济安全审议委员会年度报告确立了美国在南海问题上对中国的政策基调。";"540";546
547;2010;"考虑到2010年美国南海政策的走势,以及美国积极发展与印度尼西亚关系等事实,美国势必持续其介入南海问题的政策。";"559";547
548;2010;"综合2010年以来南海问题与南海地区形势的发展情况来看,越南、菲律宾等国对既占岛礁和资源政策的扩张化,南海争端问题的尖锐化,相关国家处理争端政策的强硬化,南海问题解决机制的东盟化,以及区域外强国介入南海事务的常态化已经成为中国和平维护南海权益不得不面对的国际挑战。";"560";548
549;2010;"2010年,在美国的参与下,东盟机制对南海问题的影响力显著增加。";"563";549
550;2010;"根据2002年的“中国东盟全面合作框架协定”,中国—东盟自由贸易区将于2010年建成,当这个拥有17亿消费者、近20000亿美元国内生产总值、12000万亿美元贸易总额的经济区,并且是世界上人口最多的自由贸易区建立之后,中国与东盟相关国家在南海问题上“搁置主权争议”和“合作开发”将获得更有利的物质条件和更有保障的制度环境。";"580";550
551;2010;"2010年以来,随着南海局势的持续升温,东盟加大了介入南海问题的力度。";"584";551
552;2010;"例如,2010年越南成为东盟轮值主席国,南海问题于是成为当年东盟地区论坛讨论的热点。";"615";552
553;2010;"2010年在越南河内举办的东盟地区论坛上,美国国务卿希拉里公开声称美国在南海拥有航行自由的重要利益,以此作为介入南海议题的依据。";"619";553
554;2010;"2010年,奥巴马政府正式确立了美国与东盟的合作架构,发展了与越南、印度尼西亚的关系,巩固了与菲律宾、马来西亚的关系,并通过一系列军事、准军事联合演习强化了对南海地区安全局势的影响力。";"736";554
555;2010;"2010年,奥巴马政府高层政要开始偏离美国不支持南海争端任何一方的基本原则,多次在公开场合表达了美国在中菲、中马南海争端中支持菲律宾和马来西亚的立场。";"739";555
556;2010;"⑥由于在南海问题上表达与东南亚各国一致的立场便于美国在增强与东南亚各国关系的同时达到遏制中国战略影响力的目的,因此,支持东盟所主导的系列会议讨论南海问题,反对中国南海权益主张就成为2010年奥巴马政府联合东南亚国家向中国施压的必然选择。";"743";556
557;2010;"这种情形下,美国2010年参与东盟地区论坛、东盟外长扩大会议、东盟防长扩大会议和东亚峰会期间所取得的成就,以及其在协助越南将南海问题纳入东盟会议议程过程中所发挥的作用,均对中国的南海战略决策提出了新的挑战。";"747";557
558;2010;"在2010年担任东盟轮值主席国期间,越南积极推动南海问题国际化、多边化,刻意拉拢区域外强权介入南海事务,成为南海问题持续升温的关键因素。";"751";558
559;2010;"2010年《美国与东盟联合声明》表达了将现有美国、东盟合作框架用于支持南海争端当事国援引国际法和平解决争端的共同立场。";"766";559
560;2010;"2010年越南抓住担任东盟轮值主席国的时机推动南海争端国际化,与美国深度介入南海的打算不谋而合,南海问题成为东盟系列国际会议的焦点议题。";"767";560
561;2010;"2010年美国和部分东南亚国家在东盟地区论坛上集中攻击中国的南海权益主张。";"773";561
562;2010;"在2010年的东盟论坛上,中国外长也是在忍无可忍的情况下,才驳斥了美国国务卿希拉里所谓的“维护南海航行自由”的言论。";"883";562
563;2010;"2010年10月,盖茨出席第一次东盟国防部长扩大会议,再度表达对南海地区形势的忧虑,并重申了美国针对南海问题提出的反对武力、援引国际法原则、尊重他国权利等若干原则。";"531";563
564;2010;"该宣言在2010年10月30日的第17次东盟首脑会议上升级为《南海各方行为准则》(COC)。";"776";564
565;2010;"2010年11月29H,越南国防部长冯光清与日本驻越大使谷崎安明就两国开展海上军事合作进行了广泛讨论；2010年12月10日,首次“日越战略对话”在河内举行,双方围绕南沙群岛问题等交换了意见。";"55";565
566;2010;"2010年11月,美国国务卿希拉里在墨尔本出席年度“澳美部长级会议”后,接受《澳大利亚人报》访谈时“证实”中国的确表示过南海是关系中国领土完整的核心利益。";"532";566
567;2010;"2010年11月,越南抗议中国国家测绘局将《南海九条断续线图》置入地理信息服务网站,要求将此图删除。";"543";567
568;2010;"2010年12月31日,阮晋勇在越南结束东盟轮值主席国任期仪式上强调:“东盟在加强对话与合作、建立互信、规范行为准则等方面取得了重大进展,尤其就东海(即我南海———作者注)等较为复杂的政治安全问题的行为准则达成了共识。";"525";568
569;2010;"2010年12月,越南驻南沙守军与居民以赠送越南林同(LamDong)省21个珊瑚礁石(21个珊瑚礁礁石代表越南所占南沙21个岛礁)与10株热带树的方式再次宣示主权。";"544";569
570;2010;"2010年2月,菲律宾授权一家英国油气公司在南沙礼乐滩进行油气资源探勘。";"545";570
571;2010;"根据美国方面的辩解,有两个情况促使奥巴马政府开始认真考虑南海问题:一个是2010年3月中国外交部官员在一次会议上向美国人表示,南海是中国的核心利益;另一个是越南等国家迫切要求美国出面制止中国在南海的强势行为。";"403";571
572;2010;"根据美国方面的辩解,有两个情况促使奥巴马政府开始认真考虑南海问题:一个是2010年3月中国外交部官员在一次会议上向美国人表示,南海是中国的核心利益;另一个是越南等国家迫切要求美国出面制止中国在南海的强势行为。";"499";572
573;2010;"2010年3月,马来西亚在南海的NC3和实巴莪(Spaoh)—1区,开发NC3初探井和SK316区块油田。";"701";573
574;2010;"2010年4月,越南在第16届东盟高峰会召开期间要求东盟会员国采取一致立场,企图通过一份南海行为准则,集体向中国施压。";"522";574
575;2010;"2010年4月,马来西亚海军与中国渔政巡航护渔编队在南沙弹丸礁附近海域遭遇。";"549";575
576;2010;"在民间,2010年4月美国国家地理协会悄悄对其出版的世界地图进行更正,今后只标明“ParacelIslands”(西沙群岛)而不再以小字下注“CHINA”。";"760";576
577;2010;"2010年5月,印度尼西亚海军在南沙海域扣押广西桂北80105号渔船,2010年6月再扣80116号渔船。";"550";577
578;2010;"2010年5月,越南国防部长提出了与美国开展多层次军事合作,以加快越南军队现代化建设的动议;②10月,美国国防部部长盖茨在越南河内出席东盟系列峰会期间,沿着符合美越两国南海利益的思路发表了公开演讲,再次阐述了美国基于国际利益和多边主义加强南海地区安全的基本主张,并对美越关系做出了“已逐渐走出冲突阴影”的结论。";"738";578
579;2010;"2010年6月,美国国防部长罗伯特·盖茨(ＲobertGates)在新加坡“香格里拉安全对话”会上宣称:“南海海域安全不仅对周边有关国家有着重要意义,对在亚洲地区有重大经济与安全利益的国家同样非比寻常。";"19";579
580;2010;"2010年6月,亲美且对南海问题态度强硬的阿基诺三世当选菲律宾总统。";"154";580
581;2010;"⑤2010年6月7日,菲律宾国防部长加斯明对外宣称,支持美国在南海部署军事力量,并强调这将有助于保护该地区弱小国家的权利。";"155";581
582;2010;"2010年6月,阿基诺三世当选菲律宾总统后,菲律宾在南海问题上的姿态更加强硬,动作更加频繁。";"200";582
583;2010;"回顾过去十年中菲关系以及菲律宾南海政策的走向,我们不难发现,菲政府的政策立场自2010年6月阿基诺三世当选总统后出现了明显转向。";"280";583
584;2010;"2010年6月10日,越南与菲律宾签订《南海渔业合作协定》。";"523";584
585;2010;"2010年6月,美国国防部长盖茨出席新加坡举行的“第九届国际战略研究所亚洲安全高峰会”时表示:“南海周边国家在南海地区有重要利益,亚洲所有国家在南海地区也有不可忽视的经济与安全利益。";"527";585
586;2010;"2010年6月,美国国防部长罗伯特·盖茨（RobertGates）在新加坡香格里拉会议上阐述美国在南海问题上的立场时说：“对于相互冲突的主权要求,我们不会表态支持哪一方,但我们反对使用武力,也反对妨碍航行自由的行为。";"796";586
587;2010;"2010年7月23日,国务卿希拉里·克林顿在越南河内举行的“东盟地区论坛”(ASEANＲegionalForum)上宣称,对于由南海地形地貌而产生的领土归属争议,美国不持立场。";"8";587
588;2010;"⑤2010年7月,国务卿克林顿在越南河内公开宣称,“南海航行自由、亚洲海洋公域(maritimecommons)的开放及对国际法的遵守事关美国国家利益”。";"15";588
589;2010;"在南海问题上,新加坡的政策态度可以概括为“中立有为,稳定和平”,⑥在2010年7月举行的备受关注的东盟地区论坛上,中美两国外长言辞激烈,就南海问题展开了一场针锋相对的外交战。";"60";589
590;2010;"2010年7月8日,印度尼西亚向联合国秘书长提交照会,质疑中国照会中所附的“南海断续线图”,指责该线缺乏国际法依据,颠覆了《公约》。";"108";590
591;2010;"2010年7月,美国国务卿希拉里·克林顿在河内发表讲话,强调有关各方应根据《公约》提出领土要求和关于海洋空间的权利主张,并以符合国际法的方式明确对南海的主权主张,对南海海域的诉求应该完全出于地形地貌,符合国际习惯法。";"117";591
592;2010;"2010年7月,美国国务卿希拉里在东盟地区论坛上宣称“南海争端关涉美国的国家利益”,发出了美国介入南海争端的信号。";"224";592
593;2010;"2010年7月,美国时任国务卿希拉里?克林顿(HillaryClinton)甚至明确宣称,“南海航行自由涉及美国国家利益”。";"259";593
594;2010;"然而,以2010年7月希拉里?克林顿国务卿的河内讲话为转折点,美国的南海政策发生了实质性改变,从“观察”转变为“干预”。";"354";594
595;2010;"第二次中国海军南海演习之后,第43届东盟外长会议于2010年7月19-20日在河内举行。";"400";595
596;2010;"在2010年7月23日举行的第17次东盟地区论坛部长会议之前,越南、菲律宾、马来西亚向美国表达了它们对中国对西沙和南沙群岛“强势的”主权要求的担忧。";"401";596
597;2010;"④2010年7月21日,美国亚太事务助理国务卿库尔特?坎贝尔(KurtCampbell)在东京接受访谈时也强调,美国在南海问题上有利益,但美国的主要利益是诸如航行自由等问题。";"404";597
598;2010;"综上所述,美国的南海政策在冷战后逐渐发生了变化,从最初的完全持中立立场,到1995年中菲美济礁冲突之后对南海领土争端的关注度加深,再到2010年7月以希拉里?克林顿的河内讲话为标志,转向了在南海问题上实际上的“选边站”。";"414";598
599;2010;"然而,以2010年7月希拉里?克林顿国务卿的河内讲话为转折点,美国的南海政策发生了实质性改变,从“观察”转变为“干预”。";"450";599
600;2010;"第二次中国海军南海演习之后,第43届东盟外长会议于2010年7月19-20日在河内举行。";"496";600
601;2010;"在2010年7月23日举行的第17次东盟地区论坛部长会议之前,越南、菲律宾、马来西亚向美国表达了它们对中国对西沙和南沙群岛“强势的”主权要求的担忧。";"497";601
602;2010;"④2010年7月21日,美国亚太事务助理国务卿库尔特?坎贝尔(KurtCampbell)在东京接受访谈时也强调,美国在南海问题上有利益,但美国的主要利益是诸如航行自由等问题。";"500";602
603;2010;"综上所述,美国的南海政策在冷战后逐渐发生了变化,从最初的完全持中立立场,到1995年中菲美济礁冲突之后对南海领土争端的关注度加深,再到2010年7月以希拉里?克林顿的河内讲话为标志,转向了在南海问题上实际上的“选边站”。";"510";603
604;2010;"2010年7月,第17届东盟地区论坛召开,越南推动美国介入南海争端多边协商的提议得到了美国的支持。";"524";604
605;2010;"2010年7月3日,美国通过日本共同新闻社发布了北京曾向美国表示,南海是关系中国领土完整的“核心利益”的消息,接着又通过“世界新闻网”发表了题为《中国南海核心利益,邻国忧虑》的评论。";"528";605
606;2010;"2010年7月第四十三届东盟外长会议和第十七届东盟地区论坛两度表达了东盟对维持南海地区和平与稳定重要性的认识,以及推动“信心建立措施”等的主张。";"534";606
607;2010;"2010年7月,印度尼西亚向联合国提交照会,指责中国2009年5月向联合国提交的《南海九条断续线图》没有国际法律依据,并且与1982年《联合国海洋法公约》有关岛屿的规定相抵触。";"551";607
608;2010;"特别是2010年7月,美国国务卿希拉里在东盟会议上又明确提出南海有所谓的“美国利益”。";"641";608
609;2010;"2010年7月26日,马来西亚皇家海军“端古·阿卜杜勒·拉赫曼”(KDTunkuAbdulRahman)号潜艇在南海水下成功试射SM39BlockII“飞鱼”反舰导弹。";"702";609
610;2010;"⑦此外,2010年7月,马来西亚首次在国会辩论中谈及南海争端,并由外交部副部长柯希仁对马来西亚的南海政策做出明确解释。";"703";610
611;2010;"2010年7月23日,美国国务卿希拉里在出席东盟外长论坛时,就南海问题发表讲话称,南海主权争议关系到“美国国家利益”,美国不支持任何一方对该地区拥有主权,反对使用“胁迫”手段解决争端。";"705";611
612;2010;"2.中国媒体数据库的建立：利用Apibi中国报纸资源全文数据库,输入搜索词“中美南海”,时间节点也选在2010年7月23到2010年10月23日,得到有效文章64篇,其来源包括《东方早报》《新民晚报》《环球时报》《新京报》《21世纪经济报道》《解放日报》《京华时报》。";"706";612
613;2010;"由于Apibi数据库不包括《人民日报》,所以本文又选取了人民日报数据库,因为人民日报数据较小,把“中美南海”作为搜索词,得到文章较少,所以改为“南海”作为搜索词,时间节点也选在2010年7月23到2010年10月23日,得到有效文章3篇。";"707";613
614;2010;"④2010年7月23日,希拉里在东盟地区论坛外长会上声称美国在维护南海航行自由方面拥有“国家利益”,在南海问题上反对“胁迫”,反对使用武力或以武力相威胁。";"713";614
615;2010;"2010年7月,希拉里·克林顿在越南河内发表了美国关于南海争端的声明,第一次完整地表达了奥巴马政府的南海政策。";"727";615
616;2010;"2010年7月,日本媒体主观恶意、断章取义地报导了中国将南海问题纳入核心利益的消息。";"735";616
617;2010;"2010年7月23日,美国国务卿希拉里在越南河内召开的第17届东盟地区论坛上第一次完整阐述奥巴马政府的南海政策,在前任政府维持南海航行自由、不以武力解决争端的既有原则基础上加入两点“新意”:一是美国愿意协助处理南海问题,实际上是宣告美国将直接介入南海争端;二是要求争议各方根据国际法建立多边解决机制,实际上是否定中国长期以来坚持的双边协商方案。";"757";617
618;2010;"2010年7月9日,美国与日本、澳大利亚在南沙群岛以南的文莱附近海域举行首次南海军演。";"768";618
619;2010;"2010年7月23日在河内举行的东盟地区论坛外长会上,美国国务卿希拉里·克林顿根据事先准备好的稿子,大谈南海与美国国家利益关系,大谈维护南海航行自由的重要性和紧迫性,大谈在南海问题上反对“胁迫”,反对使用武力或武力相威胁。";"793";619
620;2010;"一方面,继美国国务卿希拉里于2010年7月宣布美国在南海地区有着“自己的国家利益”［20］之后,澳大利亚外长陆克文也明确表示南海问题关乎澳大利亚的利益,成为公开就此问题表态的又一个域外国家。";"813";620
621;2010;"2010年7月23日,美国国务卿希拉里·克林顿在河内对新闻界发表的讲话中提出,有关各方应根据《公约》提出领土要求和关于海洋空间的权利主张,并以符合国际法的方式明确对南海的主权主张,对南海海域的诉求应该完全出于地形地貌,符合国际习惯法。";"851";621
622;2010;"2010年8月,“美菲共同防御委员会”会议(RP-USMutualDefenseBoard)召开,美国太平洋舰队司令威拉德(Pat-rickM．Willard)宣称,美国将巡航南海,以避免地区局势紧张。";"546";622
